UserID,User_Age,User_Gender,Keystrokes_Mean,Happy,Sad,Neutral,Stressed,Postponing,undefined,Session_Number
c5b3cf662f72352d,26,Male,30.14,3,20,93,4,0,0,120
370abee125ba80f5,20,Female,23.5,97,0,14,6,0,330,447
4f3f1497fb40fbb5,20,Female,24.54,2,0,9,2,0,0,13
602d11148acda2f1,25,Male,64.65,131,179,414,0,0,358,1082
84c1423ee58131f3,22,Female,34.09,0,22,0,0,0,0,22
1eacc5bbb3381adf,24,Male,40.26,64,0,0,0,8,61,133
c4514040cca620a6,36,Male,32.41,0,0,0,0,21,1,22
8e79ebf11bc46172,23,Male,48.5,1550,5,1231,18,78,91,2973
c1863b89bd6331dd,19,Male,14.25,0,0,0,0,0,4,4
68febb1fefac3175,19,Male,43.73,303,705,936,64,1178,23,3209
b130a516994f8f16,45,Female,15.86,114,1,36,30,13,263,457
bb8b7a0ca31153dc,22,Female,15.88,3,2,5,0,0,7,17
5521caa6f51a5a01,21,Male,32.85,174,19,376,73,4,4,650
6e72d0ad681b81f7,19,Female,36.65,29,0,90,9,0,2,130
7a365ccda5224dae,26,Female,34.9,2,151,478,195,27,4,857
e62a2561833ea161,22,Male,65.33,0,0,0,0,0,3,3
40f3be14ed1854bc,32,Male,23.05,10,16,39,0,0,0,65
ahmed4406,27,Male,35.43,0,11,0,14,103,1,129
e2ff9d0b01619cbb,20,Female,32.8,1,0,1,0,2,1,5
ec6780ca721d1142,30,Male,40.06,0,0,17,0,0,0,17
5d3f49c8583187d2,24,Female,30.79,57,17,35,0,0,11,120
7aac0236e6e553d5,19,Male,51.27,0,0,65,0,42,5,112
842f84441b9226dc,23,Female,6.0,0,0,0,0,0,1,1
6be652433246b0e0,66,Male,73.11,189,13,0,0,5,18,225
5d1cfbfb02a922da,20,Female,50.17,53,0,73,7,15,4,152
01e289feeb46360d,25,Male,31.67,0,0,0,2,1,0,3
c7aeb89e1fe653bd,21,Female,33.51,212,81,188,0,88,32,601
bc80c031df3951cb,23,Female,40.57,6,31,137,30,16,3,223
c2f09c480eb6767c,22,Male,50.21,627,121,7440,879,798,12809,22674
d5872ca25d757497,22,Female,6.0,0,0,1,0,0,0,1
e680258cb4095489,23,Female,13.12,6,58,30,8,0,29,131
4bbb6994ed33a4cc,18,Male,20.0,0,0,0,0,0,1,1
f5cbab4004d5c4bf,27,Male,34.71,1450,584,2017,984,0,5655,10690
0f4c12cd9c57020a,22,Male,30.33,43,0,16,0,20,4,83
1c151ad57781ad86,30,Female,10.0,0,0,0,0,0,1,1
dc8dc24c0ccf6b30,24,Male,59.68,69,83,700,56,725,9,1642
21142b2ac1cd452a,19,Female,45.51,0,0,848,0,0,6,854
5759bcc84062cfa9,33,Male,8.0,0,0,0,0,1,2,3
5d0f5920d33aa079,29,Female,36.83,0,7,2,0,3,0,12
f6696c73965f9960,21,Female,47.16,115,12,91,56,69,0,343
62301035f4b4d067,34,Female,9.0,0,0,0,1,0,0,1
1d551cbab32f10a2,46,Female,43.33,37,1,51,9,38,3,139
c6c7c1ddd980243f,18,Female,39.68,490,107,439,111,240,8547,9934
e7f2b951334dee3e,20,Male,113.14,6,0,22,0,0,0,28
f5b68f27c8fe5640,25,Female,16.62,53,26,117,35,14,100,345
af96ef9c913177d6,49,Female,77.39,0,0,0,0,1,1853,1854
64fb44a33ae50694,22,Male,50.67,385,481,32,84,1786,625,3393
0edc7c5f4a2da9ec,36,Female,62.04,44,0,15,22,519,14,614
bcb34d2a0e3d2540,24,Male,52.08,44,0,201,23,18,13,299
a387d97b05f76a05,28,Male,34.84,39,0,29,4,19,4,95
af6e9f6df8fdf275,19,Male,14.5,0,0,9,0,0,1,10
c4d64080277605ec,21,Male,40.88,3,8,1,33,15,0,60
f3baabccfc6fe25a,64,Male,6.5,0,0,1,0,0,1,2
46a65c39b610d4b2,20,Male,27.42,1,0,14,12,6,0,33
7872f4dbfb2639b4,25,Female,34.1,256,132,33,165,15,8,609
90870835849d680b,19,Male,20.36,3,2,10,0,10,0,25
5d7924d3418f510d,51,Female,12.05,0,0,0,0,0,19,19
c74e2b07a0d2bc62,19,Male,8.8,0,0,0,0,5,0,5
cc4b8fe6afbd074b,21,Male,48.93,337,0,29,0,0,4,370
01e82554bb597cec,24,Male,10.0,0,2,0,0,0,0,2
fc6c8aa32e891c3d,19,Male,57.35,66,151,160,3,0,637,1017
